
2023/06/23 (10:41:49) | ===> btop++ v.1.2.13
2023/06/23 (10:41:49) | INFO: Logger set to INFO
2023/06/23 (10:41:50) | INFO: Logger set to DEBUG
2023/06/23 (10:42:30) | DEBUG: Writing new config file
2023/06/23 (10:42:30) | INFO: Quitting! Runtime: 00:02:03

2023/06/24 (10:45:37) | ===> btop++ v.1.2.13
2023/06/24 (10:45:37) | INFO: Logger set to DEBUG
2023/06/24 (10:45:37) | DEBUG: Using locale en_US.UTF-8
2023/06/24 (10:45:37) | INFO: Running on /dev/pts/0
2023/06/24 (10:45:37) | DEBUG: Loading theme file: /usr/share/btop/themes/kyli0x.theme

2023/06/26 (18:27:28) | ===> btop++ v.1.2.13
2023/06/26 (18:27:28) | INFO: Logger set to DEBUG
2023/06/26 (18:27:28) | DEBUG: Using locale en_US.UTF-8
2023/06/26 (18:27:28) | INFO: Running on /dev/pts/0
2023/06/26 (18:27:28) | DEBUG: Loading theme file: /usr/share/btop/themes/kyli0x.theme

2023/06/28 (08:47:54) | ===> btop++ v.1.2.13
2023/06/28 (08:47:54) | INFO: Logger set to DEBUG
2023/06/28 (08:47:54) | DEBUG: Using locale en_US.UTF-8
2023/06/28 (08:47:54) | INFO: Running on /dev/pts/1
2023/06/28 (08:47:54) | DEBUG: Loading theme file: /usr/share/btop/themes/kyli0x.theme
